external_id,name,file_url,file_type,lang,retail_enabled,ppu_enabled,taxonomy_Año escolar,taxonomy_Ciclo,taxonomy_Área,taxonomy_Tema,taxonomy_Subtema,taxonomy_Colección,taxonomy_Proyecto,taxonomy_Palabras clave,description
300500000001,Emociones,revista-billiken-digital/files/03/0300500000001_Emociones.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,APRENDIZAJE SOCIO-EMOCIONAL,,,,,Sentimientos|Aburrimiento|Alegría|Enojo|Diversión|Tristeza|Obediencia|Odio|Derrota|Cansancio|Susto|Temor,
300600000001,Ecología,revista-billiken-digital/files/03/0300600000001_Ecologia.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,CIUDADANÍA GLOBAL,,,,,Dibujos|Actividades|Ejercicios|Juegos|Mar|Contaminación|Contaminar|Naturaleza|Pintar|Colorear|Reciclaje|Superhéroes|Eco-juegos|Campamento|Animal|Habitat|Plásticos|Bowling,
300700000001,A buscar,revista-billiken-digital/files/03/0300700000001_Abuscar.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,ENTRETENIMIENTO,,,,,Dibujos|Actividades|Ejercicios|¿Dónde está?|Buscando a|Imperio|Romano|Juego|Antiguo|Arábia|Vikingos|Épocas|Egípto|Egipcios|Japón|Inglaterra|Cowboys|Dinosaurios|Tribus Africanas|Hawaii|Reyes|Jardín|Circo|Camping|Picnic|Centro Comercial,
300700000002,Las diferencias,revista-billiken-digital/files/03/0300700000002_Lasdiferencias.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,ENTRETENIMIENTO,,,,,Dibujos|Actividades|Ejercicios|Juego|Dibujo|Tachar|Indios|Piratas|Vikingos|Cowboys|Cavernícolas|Reyes|Épocas|Egipcios|Hippies|Colonizadores|Espacio|Mary Poppins|E.T|Robot|El Mago de Oz|Star Wars|El extraño mundo de Jack,
300700000003,Manualidades,revista-billiken-digital/files/03/0300700000003_Manualidades.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,ENTRETENIMIENTO,,,,,Dibujos|Actividades|Ejercicios|Juego|Rollo de papel|Para hacer en casa|,
300700000004,Sabías que,revista-billiken-digital/files/03/0300700000004_Sabiasque.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,ENTRETENIMIENTO,,,,,Curiosidades|Conocimiento|Datos curiosos,
300200000001,Matemática,revista-billiken-digital/files/03/0300200000001_Matematica.pdf,pdf,es,0,0,3 AÑOS,NIVEL INICIAL,MATEMÁTICA,,,,,Dibujos|Actividades|Ejercicios|Juego|Colorear|Pintar|,
300800000001,25 de Mayo,revista-billiken-digital/files/03/0300800000001_25deMayo.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Acto|Patria|Argentina|Fecha histórica|1810|Cabildo|Dibujo|Pintar,
300800000002,Cuidado del planeta,revista-billiken-digital/files/03/0300800000002_CuidadodelPlaneta.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Naturaleza|Recilcado|Papel|Para hacer en casa|Plástico|Agua|Plantas,
300800000003,Junio,revista-billiken-digital/files/03/0300800000003_Junio.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,CIencias Sociales,,,Meses|día de la bandera|Invierno,
300800000004,La familia,revista-billiken-digital/files/03/0300800000004_Lafamilia.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Mamá|Papá|Abuelos|León|Cuento,
300800000005,Los alimentos,revista-billiken-digital/files/03/0300800000005_Losalimentos.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Naturales,,,Comida sana|Sano|Saludable|,
300800000006,Los animales,revista-billiken-digital/files/03/0300800000006_Losanimales.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Naturales,,,Animales|Granja|Cuento|Historia|,
300800000007,Los dinosaurios,revista-billiken-digital/files/03/0300800000007_Losdinosaurios.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Naturales,,,Cuento|Carnívoros|Herbívoros|Prehistoria|,
300800000008,Los sentidos,revista-billiken-digital/files/03/0300800000008_Lossentidos.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Naturales,,,Cuento|Olfato|Tacto|Vista|Oído|Gusto,
300800000009,Medios de transporte,revista-billiken-digital/files/03/0300800000009_Mediosdetransporte.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Cuento|Avión|Tractor|Vehículo|Tren|Barco,
300800000010,Mi barrio,revista-billiken-digital/files/03/0300800000010_Mibarrio.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Cuento|Plaza|Amigos|Amistad|Actividades aire libre|,
300800000011,Mi Jardín,revista-billiken-digital/files/03/0300800000011_MiJardin.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Clases|Tareas|Maestro|Enseñar|Oficios|Juegos|Cocina|Sala,
300800000012,Navidad,revista-billiken-digital/files/03/0300800000012_Navidad.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Papá Noel|Nicolas|El mejor trabajo|Frío|Nieve|Regalos|Cartas|Diciembre|Renos,
300800000013,Profesiones,revista-billiken-digital/files/03/0300800000013_Profesiones.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS,NIVEL INICIAL,MATERIAL PARA PROYECTOS,,Ciencias Sociales,,,Trabajos|Actividades|Ejercicios,
300100000031,Grafomotricidad 1,revista-billiken-digital/files/03/0300100000031_Grafomotricidad1.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS,NIVEL INICIAL,PRÁCTICAS DEL LENGUAJE,GRAFOMOTRICIDAD,,,,Práctica|Trazado|Escribir|Motricidad|Grafismo|Actividad,
300100000032,Grafomotricidad 2,revista-billiken-digital/files/03/0300100000032_Grafomotricidad2.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS,NIVEL INICIAL,PRÁCTICAS DEL LENGUAJE,GRAFOMOTRICIDAD,,,,Práctica|Trazado|Escribir|Motricidad|Grafismo|Actividad,
300100000006,Aladino y la lámpara maravillosa,revista-billiken-digital/files/03/0300100000006_Aladinoylalamparamaravillosa.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,PRÁCTICAS DEL LENGUAJE,CUENTOS,CLÁSICOS,Los clásicos por Milo,,Las mil y una noches|Fantasía|Genio|Princesa Badrul Badur|Milo Lockett|Maravilloso,
300100000007,Alicia en el País de las Maravillas,revista-billiken-digital/files/03/0300100000007_AliciaenelPaisdelasMaravillas.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,PRÁCTICAS DEL LENGUAJE,CUENTOS,CLÁSICOS,Grandes cuentos por Milo,,Conejo|Sombrero loco|Reloj|Reina de corazones|Milo Loeckett|Fantasía|Maravilloso|Lewis Carroll,
300100000008,Bella y Bestia,revista-billiken-digital/files/03/0300100000008_BellayBestia.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,PRÁCTICAS DEL LENGUAJE,CUENTOS,CLÁSICOS,Los clásicos por Milo,,Viaje|Comerciante|Castillo|Rosas|Magia|Fantasía|Maravilloso|Príncipe|Hechizo|Milo Lockett|Beaumont,
300100000009,Caperucita,revista-billiken-digital/files/03/0300100000009_Caperucita.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,PRÁCTICAS DEL LENGUAJE,CUENTOS,CLÁSICOS,Los clásicos por Milo,,Consejos|Mamá|Abuela|Bosque|Lobo|Maravilloso|Fantasía|Milo Lockett|Charles Perrault,
300100000010,El flautista de Hamelin,revista-billiken-digital/files/03/0300100000010_ElflautistadeHamelin.pdf,pdf,es,0,0,3 AÑOS|4 AÑOS|5 AÑOS|1º GRADO|2º GRADO|3º GRADO,NIVEL INICIAL|1º CICLO,PRÁCTICAS DEL LENGUAJE,CUENTOS,CLÁSICOS,Grandes cuentos por Milo,,Flauta|Ratas|Melodías|Músico|Mago|Magia|Maravilloso|Fantasía|Milo Lockett|Fábula|Leyenda|Grimm,
